,year,ethnicity,age,population
11838,1992,Other Ethnic Groups (Males),10 - 14 Years,1071
11839,1992,Other Ethnic Groups (Males),15 - 19 Years,928
11840,1992,Other Ethnic Groups (Males),20 - 24 Years,859
11841,1992,Other Ethnic Groups (Males),25 - 29 Years,1170
11842,1992,Other Ethnic Groups (Males),30 - 34 Years,1338
11843,1992,Other Ethnic Groups (Males),35 - 39 Years,1272
11844,1992,Other Ethnic Groups (Males),40 - 44 Years,1242
11845,1992,Other Ethnic Groups (Males),45 - 49 Years,804
11846,1992,Other Ethnic Groups (Males),50 - 54 Years,697
11847,1992,Other Ethnic Groups (Males),55 - 59 Years,626
11848,1992,Other Ethnic Groups (Males),60 - 64 Years,597
11849,1992,Other Ethnic Groups (Males),65 - 69 Years,482
11850,1992,Other Ethnic Groups (Males),70 - 74 Years,347
11851,1992,Other Ethnic Groups (Males),75 - 79 Years,171
11852,1992,Other Ethnic Groups (Males),80 - 84 Years,86
11853,1992,Other Ethnic Groups (Males),65 Years & Over,1136
11854,1992,Other Ethnic Groups (Males),70 Years & Over,654
11855,1992,Other Ethnic Groups (Males),75 Years & Over,307
11856,1992,Other Ethnic Groups (Males),80 Years & Over,136
11857,1992,Other Ethnic Groups (Males),85 Years & Over,50
11858,1992,Other Ethnic Groups (Females),0  -  4 Years,2178
11859,1992,Other Ethnic Groups (Females),5  -  9 Years,1429
11860,1992,Other Ethnic Groups (Females),10 - 14 Years,1052
11861,1992,Other Ethnic Groups (Females),15 - 19 Years,856
11862,1992,Other Ethnic Groups (Females),20 - 24 Years,1156
11863,1992,Other Ethnic Groups (Females),25 - 29 Years,1811
11864,1992,Other Ethnic Groups (Females),30 - 34 Years,1933
11865,1992,Other Ethnic Groups (Females),35 - 39 Years,1558
11866,1992,Other Ethnic Groups (Females),40 - 44 Years,1215
11867,1992,Other Ethnic Groups (Females),45 - 49 Years,715
11868,1992,Other Ethnic Groups (Females),50 - 54 Years,703
11869,1992,Other Ethnic Groups (Females),55 - 59 Years,675
11870,1992,Other Ethnic Groups (Females),60 - 64 Years,605
11871,1992,Other Ethnic Groups (Females),65 - 69 Years,499
11872,1992,Other Ethnic Groups (Females),70 - 74 Years,352
11873,1992,Other Ethnic Groups (Females),75 - 79 Years,233
11874,1992,Other Ethnic Groups (Females),80 - 84 Years,141
11875,1992,Other Ethnic Groups (Females),65 Years & Over,1337
11876,1992,Other Ethnic Groups (Females),70 Years & Over,838
11877,1992,Other Ethnic Groups (Females),75 Years & Over,486
11878,1992,Other Ethnic Groups (Females),80 Years & Over,253
11879,1992,Other Ethnic Groups (Females),85 Years & Over,112
11880,1993,Total Residents,0  -  4 Years,248771
11881,1993,Total Residents,5  -  9 Years,210359
11882,1993,Total Residents,10 - 14 Years,206698
11883,1993,Total Residents,15 - 19 Years,204085
11884,1993,Total Residents,20 - 24 Years,237867
11885,1993,Total Residents,25 - 29 Years,281789
11886,1993,Total Residents,30 - 34 Years,307731
11887,1993,Total Residents,35 - 39 Years,291778
11888,1993,Total Residents,40 - 44 Years,240317
11889,1993,Total Residents,45 - 49 Years,166332
11890,1993,Total Residents,50 - 54 Years,133399
11891,1993,Total Residents,55 - 59 Years,103679
11892,1993,Total Residents,60 - 64 Years,89063
11893,1993,Total Residents,65 - 69 Years,68521
11894,1993,Total Residents,70 - 74 Years,47987
11895,1993,Total Residents,75 - 79 Years,32968
11896,1993,Total Residents,80 - 84 Years,20950
11897,1993,Total Residents,65 Years & Over,182678
11898,1993,Total Residents,70 Years & Over,114157
11899,1993,Total Residents,75 Years & Over,66170
11900,1993,Total Residents,80 Years & Over,33202
11901,1993,Total Residents,85 Years & Over,12252
11902,1993,Total Male Residents,0  -  4 Years,128483
11903,1993,Total Male Residents,5  -  9 Years,108966
11904,1993,Total Male Residents,10 - 14 Years,107299
11905,1993,Total Male Residents,15 - 19 Years,105176
11906,1993,Total Male Residents,20 - 24 Years,119113
11907,1993,Total Male Residents,25 - 29 Years,140995
11908,1993,Total Male Residents,30 - 34 Years,155608
11909,1993,Total Male Residents,35 - 39 Years,147994
11910,1993,Total Male Residents,40 - 44 Years,121914
11911,1993,Total Male Residents,45 - 49 Years,84040
11912,1993,Total Male Residents,50 - 54 Years,66585
11913,1993,Total Male Residents,55 - 59 Years,51736
11914,1993,Total Male Residents,60 - 64 Years,44040
11915,1993,Total Male Residents,65 - 69 Years,33415
11916,1993,Total Male Residents,70 - 74 Years,22123
11917,1993,Total Male Residents,75 - 79 Years,14091
11918,1993,Total Male Residents,80 - 84 Years,8375
11919,1993,Total Male Residents,65 Years & Over,82274
11920,1993,Total Male Residents,70 Years & Over,48859
11921,1993,Total Male Residents,75 Years & Over,26736
11922,1993,Total Male Residents,80 Years & Over,12645
11923,1993,Total Male Residents,85 Years & Over,4270
11924,1993,Total Female Residents,0  -  4 Years,120288
11925,1993,Total Female Residents,5  -  9 Years,101393
11926,1993,Total Female Residents,10 - 14 Years,99399
11927,1993,Total Female Residents,15 - 19 Years,98909
11928,1993,Total Female Residents,20 - 24 Years,118754
11929,1993,Total Female Residents,25 - 29 Years,140794
11930,1993,Total Female Residents,30 - 34 Years,152122
11931,1993,Total Female Residents,35 - 39 Years,143785
11932,1993,Total Female Residents,40 - 44 Years,118404
11933,1993,Total Female Residents,45 - 49 Years,82292
11934,1993,Total Female Residents,50 - 54 Years,66814
11935,1993,Total Female Residents,55 - 59 Years,51944
11936,1993,Total Female Residents,60 - 64 Years,45023
11937,1993,Total Female Residents,65 - 69 Years,35106
11938,1993,Total Female Residents,70 - 74 Years,25865
11939,1993,Total Female Residents,75 - 79 Years,18877
11940,1993,Total Female Residents,80 - 84 Years,12575
11941,1993,Total Female Residents,65 Years & Over,100405
11942,1993,Total Female Residents,70 Years & Over,65299
11943,1993,Total Female Residents,75 Years & Over,39434
11944,1993,Total Female Residents,80 Years & Over,20557
11945,1993,Total Female Residents,85 Years & Over,7982
11946,1993,Total Malays,0  -  4 Years,48928
11947,1993,Total Malays,5  -  9 Years,41382
11948,1993,Total Malays,10 - 14 Years,33335
11949,1993,Total Malays,15 - 19 Years,27868
11950,1993,Total Malays,20 - 24 Years,33266
11951,1993,Total Malays,25 - 29 Years,44139
11952,1993,Total Malays,30 - 34 Years,45096
11953,1993,Total Malays,35 - 39 Years,36482
11954,1993,Total Malays,40 - 44 Years,25602
11955,1993,Total Malays,45 - 49 Years,16720
11956,1993,Total Malays,50 - 54 Years,12635
11957,1993,Total Malays,55 - 59 Years,12879
11958,1993,Total Malays,60 - 64 Years,10441
11959,1993,Total Malays,65 - 69 Years,8780
11960,1993,Total Malays,70 - 74 Years,5719
11961,1993,Total Malays,75 - 79 Years,2651
11962,1993,Total Malays,80 - 84 Years,1490
11963,1993,Total Malays,65 Years & Over,19313
11964,1993,Total Malays,70 Years & Over,10533
11965,1993,Total Malays,75 Years & Over,4814
11966,1993,Total Malays,80 Years & Over,2163
11967,1993,Total Malays,85 Years & Over,673
11968,1993,Total Male Malays,0  -  4 Years,25142
11969,1993,Total Male Malays,5  -  9 Years,21168
11970,1993,Total Male Malays,10 - 14 Years,17283
11971,1993,Total Male Malays,15 - 19 Years,14498
11972,1993,Total Male Malays,20 - 24 Years,16848
11973,1993,Total Male Malays,25 - 29 Years,22339
11974,1993,Total Male Malays,30 - 34 Years,23071
11975,1993,Total Male Malays,35 - 39 Years,18547
11976,1993,Total Male Malays,40 - 44 Years,12620
11977,1993,Total Male Malays,45 - 49 Years,8246
11978,1993,Total Male Malays,50 - 54 Years,5892
11979,1993,Total Male Malays,55 - 59 Years,6202
11980,1993,Total Male Malays,60 - 64 Years,4966
11981,1993,Total Male Malays,65 - 69 Years,4683
11982,1993,Total Male Malays,70 - 74 Years,3159
11983,1993,Total Male Malays,75 - 79 Years,1384
11984,1993,Total Male Malays,80 - 84 Years,754
11985,1993,Total Male Malays,65 Years & Over,10321
11986,1993,Total Male Malays,70 Years & Over,5638
11987,1993,Total Male Malays,75 Years & Over,2479
11988,1993,Total Male Malays,80 Years & Over,1095
11989,1993,Total Male Malays,85 Years & Over,341
11990,1993,Total Female Malays,0  -  4 Years,23786
11991,1993,Total Female Malays,5  -  9 Years,20214
11992,1993,Total Female Malays,10 - 14 Years,16052
11993,1993,Total Female Malays,15 - 19 Years,13369
11994,1993,Total Female Malays,20 - 24 Years,16418
11995,1993,Total Female Malays,25 - 29 Years,21800
11996,1993,Total Female Malays,30 - 34 Years,22026
11997,1993,Total Female Malays,35 - 39 Years,17935
11998,1993,Total Female Malays,40 - 44 Years,12982
11999,1993,Total Female Malays,45 - 49 Years,8473
12000,1993,Total Female Malays,50 - 54 Years,6744
12001,1993,Total Female Malays,55 - 59 Years,6677
12002,1993,Total Female Malays,60 - 64 Years,5475
12003,1993,Total Female Malays,65 - 69 Years,4098
12004,1993,Total Female Malays,70 - 74 Years,2560
12005,1993,Total Female Malays,75 - 79 Years,1268
12006,1993,Total Female Malays,80 - 84 Years,736
12007,1993,Total Female Malays,65 Years & Over,8994
12008,1993,Total Female Malays,70 Years & Over,4896
12009,1993,Total Female Malays,75 Years & Over,2336
12010,1993,Total Female Malays,80 Years & Over,1068
12011,1993,Total Female Malays,85 Years & Over,332
12012,1993,Total Chinese,0  -  4 Years,175365
12013,1993,Total Chinese,5  -  9 Years,148862
12014,1993,Total Chinese,10 - 14 Years,156322
12015,1993,Total Chinese,15 - 19 Years,161669
12016,1993,Total Chinese,20 - 24 Years,186548
12017,1993,Total Chinese,25 - 29 Years,213786
12018,1993,Total Chinese,30 - 34 Years,236303
12019,1993,Total Chinese,35 - 39 Years,232427
12020,1993,Total Chinese,40 - 44 Years,196291
12021,1993,Total Chinese,45 - 49 Years,137111
12022,1993,Total Chinese,50 - 54 Years,110112
12023,1993,Total Chinese,55 - 59 Years,82155
12024,1993,Total Chinese,60 - 64 Years,69199
12025,1993,Total Chinese,65 - 69 Years,52147
12026,1993,Total Chinese,70 - 74 Years,37666
12027,1993,Total Chinese,75 - 79 Years,28162
12028,1993,Total Chinese,80 - 84 Years,18412
12029,1993,Total Chinese,65 Years & Over,147438
12030,1993,Total Chinese,70 Years & Over,95291
12031,1993,Total Chinese,75 Years & Over,57625
12032,1993,Total Chinese,80 Years & Over,29463
12033,1993,Total Chinese,85 Years & Over,11051
12034,1993,Total Male Chinese,0  -  4 Years,90828
12035,1993,Total Male Chinese,5  -  9 Years,77455
12036,1993,Total Male Chinese,10 - 14 Years,81221
12037,1993,Total Male Chinese,15 - 19 Years,83209
12038,1993,Total Male Chinese,20 - 24 Years,93447
12039,1993,Total Male Chinese,25 - 29 Years,107143
12040,1993,Total Male Chinese,30 - 34 Years,119528
12041,1993,Total Male Chinese,35 - 39 Years,118030
12042,1993,Total Male Chinese,40 - 44 Years,99977
12043,1993,Total Male Chinese,45 - 49 Years,69255
12044,1993,Total Male Chinese,50 - 54 Years,54870
12045,1993,Total Male Chinese,55 - 59 Years,41066
12046,1993,Total Male Chinese,60 - 64 Years,32894
12047,1993,Total Male Chinese,65 - 69 Years,23437
12048,1993,Total Male Chinese,70 - 74 Years,15789
12049,1993,Total Male Chinese,75 - 79 Years,11241
12050,1993,Total Male Chinese,80 - 84 Years,6977
12051,1993,Total Male Chinese,65 Years & Over,61083
12052,1993,Total Male Chinese,70 Years & Over,37646
12053,1993,Total Male Chinese,75 Years & Over,21857
12054,1993,Total Male Chinese,80 Years & Over,10616
12055,1993,Total Male Chinese,85 Years & Over,3639
12056,1993,Total Female Chinese,0  -  4 Years,84537
12057,1993,Total Female Chinese,5  -  9 Years,71407
12058,1993,Total Female Chinese,10 - 14 Years,75101
12059,1993,Total Female Chinese,15 - 19 Years,78460
12060,1993,Total Female Chinese,20 - 24 Years,93101
12061,1993,Total Female Chinese,25 - 29 Years,106643
12062,1993,Total Female Chinese,30 - 34 Years,116775
12063,1993,Total Female Chinese,35 - 39 Years,114397
12064,1993,Total Female Chinese,40 - 44 Years,96314
12065,1993,Total Female Chinese,45 - 49 Years,67856
12066,1993,Total Female Chinese,50 - 54 Years,55242
12067,1993,Total Female Chinese,55 - 59 Years,41089
12068,1993,Total Female Chinese,60 - 64 Years,36304
12069,1993,Total Female Chinese,65 - 69 Years,28710
12070,1993,Total Female Chinese,70 - 74 Years,21877
12071,1993,Total Female Chinese,75 - 79 Years,16921
12072,1993,Total Female Chinese,80 - 84 Years,11435
12073,1993,Total Female Chinese,65 Years & Over,86355
12074,1993,Total Female Chinese,70 Years & Over,57645
12075,1993,Total Female Chinese,75 Years & Over,35768
12076,1993,Total Female Chinese,80 Years & Over,18847
12077,1993,Total Female Chinese,85 Years & Over,7412
12078,1993,Total Indians,0  -  4 Years,19771
12079,1993,Total Indians,5  -  9 Years,16911
12080,1993,Total Indians,10 - 14 Years,14778
12081,1993,Total Indians,15 - 19 Years,12790
12082,1993,Total Indians,20 - 24 Years,15956
12083,1993,Total Indians,25 - 29 Years,20907
12084,1993,Total Indians,30 - 34 Years,22855
12085,1993,Total Indians,35 - 39 Years,19862
12086,1993,Total Indians,40 - 44 Years,15927
12087,1993,Total Indians,45 - 49 Years,10712
12088,1993,Total Indians,50 - 54 Years,9218
12089,1993,Total Indians,55 - 59 Years,7343
12090,1993,Total Indians,60 - 64 Years,8204
12091,1993,Total Indians,65 - 69 Years,6568
12092,1993,Total Indians,70 - 74 Years,3867
12093,1993,Total Indians,75 - 79 Years,1739
12094,1993,Total Indians,80 - 84 Years,795
12095,1993,Total Indians,65 Years & Over,13316
12096,1993,Total Indians,70 Years & Over,6748
12097,1993,Total Indians,75 Years & Over,2881
12098,1993,Total Indians,80 Years & Over,1142
12099,1993,Total Indians,85 Years & Over,347
12100,1993,Total Male Indians,0  -  4 Years,10079
12101,1993,Total Male Indians,5  -  9 Years,8699
12102,1993,Total Male Indians,10 - 14 Years,7647
12103,1993,Total Male Indians,15 - 19 Years,6585
12104,1993,Total Male Indians,20 - 24 Years,7926
12105,1993,Total Male Indians,25 - 29 Years,10403
12106,1993,Total Male Indians,30 - 34 Years,11655
12107,1993,Total Male Indians,35 - 39 Years,10080
12108,1993,Total Male Indians,40 - 44 Years,8082
12109,1993,Total Male Indians,45 - 49 Years,5593
12110,1993,Total Male Indians,50 - 54 Years,5112
12111,1993,Total Male Indians,55 - 59 Years,3842
12112,1993,Total Male Indians,60 - 64 Years,5564
12113,1993,Total Male Indians,65 - 69 Years,4789
12114,1993,Total Male Indians,70 - 74 Years,2815
12115,1993,Total Male Indians,75 - 79 Years,1283
12116,1993,Total Male Indians,80 - 84 Years,556
12117,1993,Total Male Indians,65 Years & Over,9672
12118,1993,Total Male Indians,70 Years & Over,4883
12119,1993,Total Male Indians,75 Years & Over,2068
12120,1993,Total Male Indians,80 Years & Over,785
12121,1993,Total Male Indians,85 Years & Over,229
12122,1993,Total Female Indians,0  -  4 Years,9692
12123,1993,Total Female Indians,5  -  9 Years,8212
12124,1993,Total Female Indians,10 - 14 Years,7131
12125,1993,Total Female Indians,15 - 19 Years,6205
12126,1993,Total Female Indians,20 - 24 Years,8029
12127,1993,Total Female Indians,25 - 29 Years,10504
12128,1993,Total Female Indians,30 - 34 Years,11201
12129,1993,Total Female Indians,35 - 39 Years,9782
12130,1993,Total Female Indians,40 - 44 Years,7846
12131,1993,Total Female Indians,45 - 49 Years,5119
12132,1993,Total Female Indians,50 - 54 Years,4106
12133,1993,Total Female Indians,55 - 59 Years,3501
12134,1993,Total Female Indians,60 - 64 Years,2641
12135,1993,Total Female Indians,65 - 69 Years,1779
12136,1993,Total Female Indians,70 - 74 Years,1052
12137,1993,Total Female Indians,75 - 79 Years,456
12138,1993,Total Female Indians,80 - 84 Years,239
12139,1993,Total Female Indians,65 Years & Over,3644
12140,1993,Total Female Indians,70 Years & Over,1865
12141,1993,Total Female Indians,75 Years & Over,813
12142,1993,Total Female Indians,80 Years & Over,357
12143,1993,Total Female Indians,85 Years & Over,118
12144,1993,Other Ethnic Groups (Total),0  -  4 Years,4707
12145,1993,Other Ethnic Groups (Total),5  -  9 Years,3204
12146,1993,Other Ethnic Groups (Total),10 - 14 Years,2263
12147,1993,Other Ethnic Groups (Total),15 - 19 Years,1759
12148,1993,Other Ethnic Groups (Total),20 - 24 Years,2098
12149,1993,Other Ethnic Groups (Total),25 - 29 Years,2958
12150,1993,Other Ethnic Groups (Total),30 - 34 Years,3476
12151,1993,Other Ethnic Groups (Total),35 - 39 Years,3008
12152,1993,Other Ethnic Groups (Total),40 - 44 Years,2497
12153,1993,Other Ethnic Groups (Total),45 - 49 Years,1790
12154,1993,Other Ethnic Groups (Total),50 - 54 Years,1434
12155,1993,Other Ethnic Groups (Total),55 - 59 Years,1303
12156,1993,Other Ethnic Groups (Total),60 - 64 Years,1219
12157,1993,Other Ethnic Groups (Total),65 - 69 Years,1026
12158,1993,Other Ethnic Groups (Total),70 - 74 Years,736
12159,1993,Other Ethnic Groups (Total),75 - 79 Years,415
12160,1993,Other Ethnic Groups (Total),80 - 84 Years,255
12161,1993,Other Ethnic Groups (Total),65 Years & Over,2614
12162,1993,Other Ethnic Groups (Total),70 Years & Over,1588
12163,1993,Other Ethnic Groups (Total),75 Years & Over,852
12164,1993,Other Ethnic Groups (Total),80 Years & Over,437
12165,1993,Other Ethnic Groups (Total),85 Years & Over,182
12166,1993,Other Ethnic Groups (Males),0  -  4 Years,2434
12167,1993,Other Ethnic Groups (Males),5  -  9 Years,1644
12168,1993,Other Ethnic Groups (Males),10 - 14 Years,1148
12169,1993,Other Ethnic Groups (Males),15 - 19 Years,884
12170,1993,Other Ethnic Groups (Males),20 - 24 Years,893
12171,1993,Other Ethnic Groups (Males),25 - 29 Years,1111
12172,1993,Other Ethnic Groups (Males),30 - 34 Years,1355
12173,1993,Other Ethnic Groups (Males),35 - 39 Years,1338
12174,1993,Other Ethnic Groups (Males),40 - 44 Years,1235
12175,1993,Other Ethnic Groups (Males),45 - 49 Years,946
12176,1993,Other Ethnic Groups (Males),50 - 54 Years,712
12177,1993,Other Ethnic Groups (Males),55 - 59 Years,626
12178,1993,Other Ethnic Groups (Males),60 - 64 Years,616
12179,1993,Other Ethnic Groups (Males),65 - 69 Years,506
12180,1993,Other Ethnic Groups (Males),70 - 74 Years,359
12181,1993,Other Ethnic Groups (Males),75 - 79 Years,183
12182,1993,Other Ethnic Groups (Males),80 - 84 Years,89
12183,1993,Other Ethnic Groups (Males),65 Years & Over,1198
12184,1993,Other Ethnic Groups (Males),70 Years & Over,692
12185,1993,Other Ethnic Groups (Males),75 Years & Over,333
12186,1993,Other Ethnic Groups (Males),80 Years & Over,150
12187,1993,Other Ethnic Groups (Males),85 Years & Over,61
12188,1993,Other Ethnic Groups (Females),0  -  4 Years,2273
12189,1993,Other Ethnic Groups (Females),5  -  9 Years,1560
12190,1993,Other Ethnic Groups (Females),10 - 14 Years,1115
12191,1993,Other Ethnic Groups (Females),15 - 19 Years,874
12192,1993,Other Ethnic Groups (Females),20 - 24 Years,1205
12193,1993,Other Ethnic Groups (Females),25 - 29 Years,1847
12194,1993,Other Ethnic Groups (Females),30 - 34 Years,2121
12195,1993,Other Ethnic Groups (Females),35 - 39 Years,1670
12196,1993,Other Ethnic Groups (Females),40 - 44 Years,1262
12197,1993,Other Ethnic Groups (Females),45 - 49 Years,844
12198,1993,Other Ethnic Groups (Females),50 - 54 Years,723
12199,1993,Other Ethnic Groups (Females),55 - 59 Years,677
12200,1993,Other Ethnic Groups (Females),60 - 64 Years,603
12201,1993,Other Ethnic Groups (Females),65 - 69 Years,520
12202,1993,Other Ethnic Groups (Females),70 - 74 Years,376
12203,1993,Other Ethnic Groups (Females),75 - 79 Years,232
12204,1993,Other Ethnic Groups (Females),80 - 84 Years,166
12205,1993,Other Ethnic Groups (Females),65 Years & Over,1414
12206,1993,Other Ethnic Groups (Females),70 Years & Over,894
12207,1993,Other Ethnic Groups (Females),75 Years & Over,518
12208,1993,Other Ethnic Groups (Females),80 Years & Over,286
12209,1993,Other Ethnic Groups (Females),85 Years & Over,120
12210,1994,Total Residents,0  -  4 Years,247022
12211,1994,Total Residents,5  -  9 Years,223824
12212,1994,Total Residents,10 - 14 Years,207032
12213,1994,Total Residents,15 - 19 Years,200002
12214,1994,Total Residents,20 - 24 Years,239253
12215,1994,Total Residents,25 - 29 Years,273264
12216,1994,Total Residents,30 - 34 Years,309334
12217,1994,Total Residents,35 - 39 Years,300133
12218,1994,Total Residents,40 - 44 Years,250783
12219,1994,Total Residents,45 - 49 Years,183764
12220,1994,Total Residents,50 - 54 Years,133810
12221,1994,Total Residents,55 - 59 Years,110127
12222,1994,Total Residents,60 - 64 Years,91308
12223,1994,Total Residents,65 - 69 Years,72439
12224,1994,Total Residents,70 - 74 Years,49283
12225,1994,Total Residents,75 - 79 Years,33406
12226,1994,Total Residents,80 - 84 Years,21460
12227,1994,Total Residents,65 Years & Over,189695
12228,1994,Total Residents,70 Years & Over,117256
12229,1994,Total Residents,75 Years & Over,67973
12230,1994,Total Residents,80 Years & Over,34567
12231,1994,Total Residents,85 Years & Over,13107
12232,1994,Total Male Residents,0  -  4 Years,127478
12233,1994,Total Male Residents,5  -  9 Years,115808
12234,1994,Total Male Residents,10 - 14 Years,107508
12235,1994,Total Male Residents,15 - 19 Years,103187
12236,1994,Total Male Residents,20 - 24 Years,119711
12237,1994,Total Male Residents,25 - 29 Years,135450
12238,1994,Total Male Residents,30 - 34 Years,155684
12239,1994,Total Male Residents,35 - 39 Years,151809
12240,1994,Total Male Residents,40 - 44 Years,127357
12241,1994,Total Male Residents,45 - 49 Years,92899
12242,1994,Total Male Residents,50 - 54 Years,66989
12243,1994,Total Male Residents,55 - 59 Years,54818
12244,1994,Total Male Residents,60 - 64 Years,45026
12245,1994,Total Male Residents,65 - 69 Years,35045
12246,1994,Total Male Residents,70 - 74 Years,22938
12247,1994,Total Male Residents,75 - 79 Years,14296
12248,1994,Total Male Residents,80 - 84 Years,8565
12249,1994,Total Male Residents,65 Years & Over,85457
12250,1994,Total Male Residents,70 Years & Over,50412
12251,1994,Total Male Residents,75 Years & Over,27474
12252,1994,Total Male Residents,80 Years & Over,13178
12253,1994,Total Male Residents,85 Years & Over,4613
12254,1994,Total Female Residents,0  -  4 Years,119544
12255,1994,Total Female Residents,5  -  9 Years,108016
12256,1994,Total Female Residents,10 - 14 Years,99524
12257,1994,Total Female Residents,15 - 19 Years,96815
12258,1994,Total Female Residents,20 - 24 Years,119541
12259,1994,Total Female Residents,25 - 29 Years,137814
12260,1994,Total Female Residents,30 - 34 Years,153650
12261,1994,Total Female Residents,35 - 39 Years,148324
12262,1994,Total Female Residents,40 - 44 Years,123426
12263,1994,Total Female Residents,45 - 49 Years,90865
12264,1994,Total Female Residents,50 - 54 Years,66821
12265,1994,Total Female Residents,55 - 59 Years,55309
12266,1994,Total Female Residents,60 - 64 Years,46282
12267,1994,Total Female Residents,65 - 69 Years,37394
12268,1994,Total Female Residents,70 - 74 Years,26345
12269,1994,Total Female Residents,75 - 79 Years,19110
12270,1994,Total Female Residents,80 - 84 Years,12895
12271,1994,Total Female Residents,65 Years & Over,104238
12272,1994,Total Female Residents,70 Years & Over,66844
12273,1994,Total Female Residents,75 Years & Over,40499
12274,1994,Total Female Residents,80 Years & Over,21389
12275,1994,Total Female Residents,85 Years & Over,8494
12276,1994,Total Malays,0  -  4 Years,49201
12277,1994,Total Malays,5  -  9 Years,43218
12278,1994,Total Malays,10 - 14 Years,35278
12279,1994,Total Malays,15 - 19 Years,27489
12280,1994,Total Malays,20 - 24 Years,32363
12281,1994,Total Malays,25 - 29 Years,41515
12282,1994,Total Malays,30 - 34 Years,46196
12283,1994,Total Malays,35 - 39 Years,38142
12284,1994,Total Malays,40 - 44 Years,27835
12285,1994,Total Malays,45 - 49 Years,18346
12286,1994,Total Malays,50 - 54 Years,12544
12287,1994,Total Malays,55 - 59 Years,12875
12288,1994,Total Malays,60 - 64 Years,10752
12289,1994,Total Malays,65 - 69 Years,9213
12290,1994,Total Malays,70 - 74 Years,5957
12291,1994,Total Malays,75 - 79 Years,2934
12292,1994,Total Malays,80 - 84 Years,1436
12293,1994,Total Malays,65 Years & Over,20235
12294,1994,Total Malays,70 Years & Over,11022
12295,1994,Total Malays,75 Years & Over,5065
12296,1994,Total Malays,80 Years & Over,2131
12297,1994,Total Malays,85 Years & Over,695
12298,1994,Total Male Malays,0  -  4 Years,25331
12299,1994,Total Male Malays,5  -  9 Years,22106
12300,1994,Total Male Malays,10 - 14 Years,18313
12301,1994,Total Male Malays,15 - 19 Years,14267
12302,1994,Total Male Malays,20 - 24 Years,16433
12303,1994,Total Male Malays,25 - 29 Years,20789
12304,1994,Total Male Malays,30 - 34 Years,23575
12305,1994,Total Male Malays,35 - 39 Years,19364
12306,1994,Total Male Malays,40 - 44 Years,13811
12307,1994,Total Male Malays,45 - 49 Years,9048
12308,1994,Total Male Malays,50 - 54 Years,5879
12309,1994,Total Male Malays,55 - 59 Years,6255
12310,1994,Total Male Malays,60 - 64 Years,4944
12311,1994,Total Male Malays,65 - 69 Years,4806
12312,1994,Total Male Malays,70 - 74 Years,3298
12313,1994,Total Male Malays,75 - 79 Years,1566
12314,1994,Total Male Malays,80 - 84 Years,730
12315,1994,Total Male Malays,65 Years & Over,10743
12316,1994,Total Male Malays,70 Years & Over,5937
12317,1994,Total Male Malays,75 Years & Over,2639
12318,1994,Total Male Malays,80 Years & Over,1073
12319,1994,Total Male Malays,85 Years & Over,343
12320,1994,Total Female Malays,0  -  4 Years,23870
12321,1994,Total Female Malays,5  -  9 Years,21112
12322,1994,Total Female Malays,10 - 14 Years,16965
12323,1994,Total Female Malays,15 - 19 Years,13222
12324,1994,Total Female Malays,20 - 24 Years,15930
12325,1994,Total Female Malays,25 - 29 Years,20726
12326,1994,Total Female Malays,30 - 34 Years,22620
12327,1994,Total Female Malays,35 - 39 Years,18777
12328,1994,Total Female Malays,40 - 44 Years,14025
12329,1994,Total Female Malays,45 - 49 Years,9298
12330,1994,Total Female Malays,50 - 54 Years,6665
12331,1994,Total Female Malays,55 - 59 Years,6620
12332,1994,Total Female Malays,60 - 64 Years,5808
12333,1994,Total Female Malays,65 - 69 Years,4407
12334,1994,Total Female Malays,70 - 74 Years,2659
12335,1994,Total Female Malays,75 - 79 Years,1368
12336,1994,Total Female Malays,80 - 84 Years,706
12337,1994,Total Female Malays,65 Years & Over,9492
12338,1994,Total Female Malays,70 Years & Over,5085
12339,1994,Total Female Malays,75 Years & Over,2426
12340,1994,Total Female Malays,80 Years & Over,1058
12341,1994,Total Female Malays,85 Years & Over,352
12342,1994,Total Chinese,0  -  4 Years,172883
12343,1994,Total Chinese,5  -  9 Years,159182
12344,1994,Total Chinese,10 - 14 Years,153822
12345,1994,Total Chinese,15 - 19 Years,157990
12346,1994,Total Chinese,20 - 24 Years,189135
12347,1994,Total Chinese,25 - 29 Years,208544
12348,1994,Total Chinese,30 - 34 Years,236129
12349,1994,Total Chinese,35 - 39 Years,237698
12350,1994,Total Chinese,40 - 44 Years,203622
12351,1994,Total Chinese,45 - 49 Years,151299
12352,1994,Total Chinese,50 - 54 Years,110732
12353,1994,Total Chinese,55 - 59 Years,88363
12354,1994,Total Chinese,60 - 64 Years,71252
12355,1994,Total Chinese,65 - 69 Years,55238
12356,1994,Total Chinese,70 - 74 Years,38453
12357,1994,Total Chinese,75 - 79 Years,28131
12358,1994,Total Chinese,80 - 84 Years,18890
12359,1994,Total Chinese,65 Years & Over,152551
12360,1994,Total Chinese,70 Years & Over,97313
12361,1994,Total Chinese,75 Years & Over,58860
12362,1994,Total Chinese,80 Years & Over,30729
12363,1994,Total Chinese,85 Years & Over,11839
12364,1994,Total Male Chinese,0  -  4 Years,89417
12365,1994,Total Male Chinese,5  -  9 Years,82673
12366,1994,Total Male Chinese,10 - 14 Years,79929
